date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,xruns_vs_actual
2026-04-11,Los Angeles Dodgers,Texas Rangers,6,3,9,Los Angeles Dodgers,Los Angeles Dodgers,64.3,35.7,True,64.3,7.9,1.0999999999999996,True,UNDER
2026-04-11,Seattle Mariners,Houston Astros,8,7,15,Seattle Mariners,Seattle Mariners,63.0,37.0,True,63.0,9.39,5.609999999999999,False,UNDER
2026-04-12,Baltimore Orioles,San Francisco Giants,6,2,8,Baltimore Orioles,Baltimore Orioles,66.0,34.0,True,66.0,8.32,0.3200000000000003,True,OVER
2026-04-12,Philadelphia Phillies,Arizona Diamondbacks,3,4,7,Arizona Diamondbacks,Arizona Diamondbacks,25.5,74.5,True,74.5,9.32,2.3200000000000003,False,OVER
2026-04-12,Toronto Blue Jays,Minnesota Twins,2,8,10,Minnesota Twins,Minnesota Twins,47.8,52.2,True,52.2,10.96,0.9600000000000009,True,OVER
2026-04-12,Cincinnati Reds,Los Angeles Angels,6,9,15,Los Angeles Angels,Cincinnati Reds,54.0,46.0,False,54.0,8.48,6.52,False,UNDER
2026-04-12,New York Mets,Athletics,0,1,1,Athletics,Athletics,27.7,72.3,True,72.3,8.57,7.57,False,OVER
2026-04-12,Detroit Tigers,Miami Marlins,8,2,10,Detroit Tigers,Detroit Tigers,53.7,46.3,True,53.7,9.4,0.5999999999999996,True,UNDER
2026-04-12,Tampa Bay Rays,New York Yankees,5,4,9,Tampa Bay Rays,New York Yankees,22.3,77.7,False,77.7,8.96,0.03999999999999915,False,UNDER
2026-04-12,Kansas City Royals,Chicago White Sox,5,6,11,Chicago White Sox,Chicago White Sox,31.5,68.5,True,68.5,9.63,1.3699999999999992,False,UNDER
2026-04-12,Milwaukee Brewers,Washington Nationals,6,8,14,Washington Nationals,Milwaukee Brewers,65.9,34.1,False,65.9,9.9,4.1,False,UNDER
2026-04-12,St. Louis Cardinals,Boston Red Sox,3,9,12,Boston Red Sox,St. Louis Cardinals,78.3,21.7,False,78.3,8.94,3.0600000000000005,False,UNDER
2026-04-12,Chicago Cubs,Pittsburgh Pirates,7,6,13,Chicago Cubs,Chicago Cubs,77.9,22.1,True,77.9,8.98,4.02,False,UNDER
2026-04-12,San Diego Padres,Colorado Rockies,7,2,9,San Diego Padres,San Diego Padres,64.2,35.8,True,64.2,7.91,1.0899999999999999,True,UNDER
2026-04-12,Seattle Mariners,Houston Astros,6,1,7,Seattle Mariners,Seattle Mariners,66.7,33.3,True,66.7,8.97,1.9700000000000006,True,OVER
2026-04-12,Los Angeles Dodgers,Texas Rangers,2,5,7,Texas Rangers,Los Angeles Dodgers,57.0,43.0,False,57.0,7.39,0.3899999999999997,False,OVER
2026-04-12,Atlanta Braves,Cleveland Guardians,13,1,14,Atlanta Braves,Atlanta Braves,77.4,22.6,True,77.4,9.07,4.93,True,UNDER
2026-04-13,Seattle Mariners,Houston Astros,6,2,8,Seattle Mariners,Seattle Mariners,62.9,37.1,True,62.9,8.78,0.7799999999999994,True,OVER
2026-04-13,Baltimore Orioles,Arizona Diamondbacks,9,7,16,Baltimore Orioles,Arizona Diamondbacks,49.5,50.5,False,50.5,11.02,4.98,False,UNDER
